fecha,titulo,categoria,enlace
2023-01-17,Pudieran recontratar en el Gobierno a jubilados,Gobierno,https://jayfonseca.com/pudieran-recontratar-en-el-gobierno-a-jubilados/
2023-01-17,Sintoniza WAPA TV ahora: Careo entre Jay Fonseca y Gobernador Interino sobre si empresa que se va a quedar con generación de energía tiene un historial cuestionable,Puerto Rico,https://jayfonseca.com/sintoniza-wapa-tv-ahora-careo-entre-jay-fonseca-y-gobernador-interino-sobre-si-empresa-que-se-va-a-quedar-con-generacion-de-energia-tiene-un-historial-cuestionable/
2023-01-17,Gobierno vende a precio de quemazón seis propiedades en Puerta de Tierra,Gobierno,https://jayfonseca.com/gobierno-vende-a-precio-de-quemazon-seis-propiedades-en-puerta-de-tierra/
2023-01-16,"Junta Fiscal ya aprobó contrato para privatizar generación de energía, ahora evaluará enmiendas",Gobierno,https://jayfonseca.com/junta-fiscal-ya-aprobo-contrato-para-privatizar-generacion-de-energia-ahora-evaluara-enmiendas/
2023-01-16,Contrato para nueva APP de generación de energía provoca guerra en la Cámara,Legislatura,https://jayfonseca.com/contrato-para-nueva-app-de-generacion-de-energia-provoca-guerra-en-la-camara/
2023-01-16,Contrato para nueva APP de generación de energía provoca guerra en la Cámara,Politica,https://jayfonseca.com/contrato-para-nueva-app-de-generacion-de-energia-provoca-guerra-en-la-camara/
2023-01-13,Gobernador anticipa Junta de APP aprobará unánimemente contrato para privatizar generación eléctrica,Legislatura,https://jayfonseca.com/gobernador-anticipa-junta-de-app-aprobara-unanimemente-contrato-para-privatizar-generacion-electrica/
2023-01-13,Contralor Electoral concluye que no hubo coordinación entre Salvemos a PR y campaña de Pierluisi,Politica,https://jayfonseca.com/contralor-electoral-concluye-que-no-hubo-coordinacion-entre-salvemos-a-pr-y-campana-de-pierluisi/
2023-01-13,En Puerto Rico se están endeudando más con préstamos personales y tarjetas de crédito,Puerto Rico,https://jayfonseca.com/en-puerto-rico-se-estan-endeudando-mas-con-prestamos-personales-y-tarjetas-de-credito/
2023-01-13,AAA pierde más de 65% del agua que produce,Puerto Rico,https://jayfonseca.com/aaa-pierde-mas-de-65-del-agua-que-produce/
2023-01-13,Salud recomienda usar mascarilla en las Fiestas de la Calle San Sebastián,Puerto Rico,https://jayfonseca.com/salud-recomienda-usar-mascarilla-en-las-fiestas-de-la-calle-san-sebastian/
2023-01-13,A punto de concretarse APP para generación de energía ,Gobierno,https://jayfonseca.com/a-punto-de-concretarse-app-para-generacion-de-energia/
2023-01-13,Al menos 19 personas se ahogaron en las playas de Puerto Rico en 2022,Gobierno,https://jayfonseca.com/al-menos-19-personas-se-ahogaron-en-las-playas-de-puerto-rico-en-2022/
2023-01-13,Gobernador anticipa Junta de APP aprobará unánimemente contrato para privatizar generación eléctrica,Gobierno,https://jayfonseca.com/gobernador-anticipa-junta-de-app-aprobara-unanimemente-contrato-para-privatizar-generacion-electrica/
2023-01-12,Sin apoyo proyecto para crear un Plan Nacional de Salud,Gobierno,https://jayfonseca.com/sin-apoyo-proyecto-para-crear-un-plan-nacional-de-salud/
2023-01-12,Santamaría entregó sobornos a Ángel Pérez en coordinación con el FBI,Gobierno,https://jayfonseca.com/santamaria-entrego-sobornos-a-angel-perez-en-coordinacion-con-el-fbi/
2023-01-12,Falla en sistema de aviación se debió posiblemente a “archivo de base de datos dañado”,Estados Unidos,https://jayfonseca.com/falla-en-sistema-de-aviacion-se-debio-posiblemente-a-archivo-de-base-de-datos-danado/
2023-01-12,Santamaría entregó sobornos a Ángel Pérez en coordinación con el FBI,Tribunales,https://jayfonseca.com/santamaria-entrego-sobornos-a-angel-perez-en-coordinacion-con-el-fbi/
2023-01-12,Carreteras anuncia cierre del puente atirantado de Naranjito,Gobierno,https://jayfonseca.com/carreteras-anuncia-cierre-del-puente-atirantado-de-naranjito-por-reparaciones/
2023-01-12,Presidentes legislativos irán al tribunal para impugnar contrato de LUMA,Legislatura,https://jayfonseca.com/presidentes-legislativos-iran-al-tribunal-para-impugnar-contrato-de-luma/
2023-01-12,Líderes legislativos condicionan APP para generar energía,Legislatura,https://jayfonseca.com/lideres-legislativos-condicionan-app-para-generar-energia/
2023-01-11,Transición del PAN a SNAP podría estar listo en cinco años o menos,Gobierno,https://jayfonseca.com/transicion-del-pan-a-snap-podria-estar-listo-en-cinco-anos-o-menos/
2023-01-11,Pierluisi descarta retirar el nombramiento de la Procuradora de las Mujeres,Gobierno,https://jayfonseca.com/pierluisi-descarta-retirar-el-nombramiento-de-la-procuradora-de-las-mujeres/
2023-01-11,Gobernador anuncia asignación de $540 millones para expandir carretera PR-10,Gobierno,https://jayfonseca.com/gobernador-anuncia-asignacion-de-540-millones-para-expandir-carretera-pr-10/
2023-01-11,Contratista utilizó cartón para rellenar huecos en el puente atirantado de Naranjito,Gobierno,https://jayfonseca.com/contratista-utilizo-carton-para-rellenar-huecos-en-el-puente-atirantado-de-naranjito/
2023-01-11,Falla en sistemas de información afecta todos los vuelos en Estados Unidos,Estados Unidos,https://jayfonseca.com/falla-en-sistemas-de-informacion-afecta-todos-los-vuelos-en-estados-unidos/
2023-01-11,Pierluisi descarta retirar el nombramiento de la Procuradora de las Mujeres,Legislatura,https://jayfonseca.com/pierluisi-descarta-retirar-el-nombramiento-de-la-procuradora-de-las-mujeres/
2023-01-11,Reveladoras declaraciones de fiscal aseguran que Ozuna no fue extorsionado por Kevin Fret,Tribunales,https://jayfonseca.com/reveladoras-declaraciones-de-fiscal-aseguran-que-ozuna-no-fue-extorsionado-por-kevin-fret/
2023-01-11,Fiscal asegura existe informe preliminar que indica que Cotto Cartagena recibió un empujón,Tribunales,https://jayfonseca.com/fiscal-asegura-existe-informe-preliminar-que-indica-que-cotto-cartagena-recibio-un-empujon/
2023-01-11,Dos años de prisión para ex alcalde de Trujillo Alto,Tribunales,https://jayfonseca.com/dos-anos-de-prision-para-ex-alcalde-de-trujillo-alto/
2023-01-10,Convicto Oscar Santamaria busca operar negocio de cannabis medicinal en Cidra,Tribunales,https://jayfonseca.com/convicto-oscar-santamaria-busca-operar-negocio-de-cannabis-medicinal-en-cidra/
2023-01-10,Siguen cerradas 55 escuelas por reparaciones tras terremotos del 2020,Educacion,https://jayfonseca.com/siguen-cerradas-55-escuelas-por-reparaciones-tras-terremotos-del-2020/
2023-01-10,Para este mes de enero se determina el aumento en el costo del café ,Puerto Rico,https://jayfonseca.com/para-este-mes-de-enero-se-determina-el-aumento-en-el-costo-del-cafe/
2023-01-10,Inician las clases hoy y recomiendan el uso de mascarillas ante alza de contagio de Covid-19,Educacion,https://jayfonseca.com/inician-las-clases-hoy-y-recomiendan-el-uso-de-mascarillas-ante-alza-de-contagio-de-covid-19/
2023-01-10,"Énfasis en español, inglés y matemáticas para combatir rezago académico",Educacion,https://jayfonseca.com/enfasis-en-espanol-ingles-y-matematicas-para-combatir-rezago-academico/
2023-01-10,Huelga de 7 mil enfermeras en Nueva York por cansancio ,Estados Unidos,https://jayfonseca.com/huelga-de-7-mil-enfermeras-en-nueva-york-por-cansancio/
2023-01-09,"DOCUMENTO: Daddy Yankee, Anuel, Ozuna y 30 reggaetoneros más en demanda federal consolidada por derechos de autor",Tribunales,https://jayfonseca.com/documento-daddy-yankee-anuel-ozuna-y-30-reggaetoneros-mas-en-demanda-federal-consolidada-por-derechos-de-autor-contra-fonsi/
2023-01-09,Estas son las prioridades de la Legislatura en esta nueva sesión,Gobierno,https://jayfonseca.com/estas-son-las-prioridades-de-la-legislatura-en-esta-nueva-sesion/
2023-01-09,Pierluisi confía Senado confirmará nominada a Procuraduría de las Mujeres,Gobierno,https://jayfonseca.com/pierluisi-confia-senado-confirmara-nominada-a-procuraduria-de-las-mujeres/
2023-01-09,Ángel Pérez pide desestimar cargos porque recibió “donativos de campaña” y no sobornos,Tribunales,https://jayfonseca.com/angel-perez-pide-desestimar-cargos-porque-recibio-donativos-de-campana-y-no-sobornos/
2023-01-09,Radican cargo de violencia doméstica contra exponente de música urbana Randy,Tribunales,https://jayfonseca.com/radican-cargo-de-violencia-domestica-contra-exponente-de-musica-urbana-randy/
2023-01-09,Pierluisi confía Senado confirmará nominada a Procuraduría de las Mujeres,Legislatura,https://jayfonseca.com/pierluisi-confia-senado-confirmara-nominada-a-procuraduria-de-las-mujeres/
2023-01-09,Radican cargo de violencia doméstica contra exponente de música urbana Randy,Cultura,https://jayfonseca.com/radican-cargo-de-violencia-domestica-contra-exponente-de-musica-urbana-randy/
2023-01-09,Rivera Schatz critica designación de nueva procuradora de la mujer,Gobierno,https://jayfonseca.com/rivera-schatz-critica-designacion-de-nueva-procuradora-de-la-mujer/
2023-01-09,Lenta a reconstrucción de casas a tres años de los terremotos,Gobierno,https://jayfonseca.com/lenta-a-reconstruccion-de-casas-a-tres-anos-de-los-terremotos/
2023-01-09,Las Marías con la mayor tasa de desempleo en la Isla,Puerto Rico,https://jayfonseca.com/las-marias-con-la-mayor-tasa-de-desempleo-en-la-isla/
2023-01-09,"DOCUMENTO: Daddy Yankee, Anuel, Ozuna y 30 reggaetoneros más en demanda federal consolidada por derechos de autor",Cultura,https://jayfonseca.com/documento-daddy-yankee-anuel-ozuna-y-30-reggaetoneros-mas-en-demanda-federal-consolidada-por-derechos-de-autor-contra-fonsi/
2022-12-23,Centro de trauma logra contratar enfermeras pero quedan aún vacantes ,Gobierno,https://jayfonseca.com/centro-de-trauma-logra-contratar-enfermeras-pero-quedan-aun-vacantes/
2022-12-23,Deficientes los servicios de salud mental en Plan Vital ,Gobierno,https://jayfonseca.com/deficientes-los-servicios-de-salud-mental-en-plan-vital/
2022-12-23,Pierluisi esperará revalidar para llenar vacante del Supremo y Contralor ,Gobierno,https://jayfonseca.com/pierluisi-esperara-revalidar-para-llenar-vacante-del-supremo-y-contralor/
2022-12-22,Airbnb rechaza reglamento de San Juan y aboga por reglamentación única estatal,Economia,https://jayfonseca.com/airbnb-rechaza-reglamento-de-san-juan-y-aboga-por-reglamentacion-unica-estatal/
2022-12-22,Persiste problema de uso excesivo de la fuerza en la Policía,Tribunales,https://jayfonseca.com/persiste-problema-de-uso-excesivo-de-la-fuerza-en-la-policia/
2022-12-22,Proponen suministrar energía a Puerto Rico con cable submarino de Estados Unidos,Puerto Rico,https://jayfonseca.com/proponen-suministrar-energia-a-puerto-rico-con-cable-submarino-de-estados-unidos/
2022-12-22,Gobernador rechaza estar enajenado del País,Politica,https://jayfonseca.com/gobernador-rechaza-estar-enajenado-del-pais/
2022-12-22,Airbnb rechaza reglamento de San Juan y aboga por reglamentación única estatal,Gobierno,https://jayfonseca.com/airbnb-rechaza-reglamento-de-san-juan-y-aboga-por-reglamentacion-unica-estatal/
2022-12-22,Mayor reto de Pierluisi lograr estabilización del sistema eléctrico,Gobierno,https://jayfonseca.com/mayor-reto-de-pierluisi-lograr-estabilizacion-del-sistema-electrico/
2022-12-22,Junta Fiscal dice que no a creación de oficina para manejo de fondos federales,Gobierno,https://jayfonseca.com/junta-fiscal-dice-que-no-a-creacion-de-oficina-para-manejo-de-fondos-federales/
2022-12-22,Gobernador rechaza estar enajenado del País,Gobierno,https://jayfonseca.com/gobernador-rechaza-estar-enajenado-del-pais/
2022-12-22,Imputan conflicto de interés a jueza que resolvió demanda contra Walmart,Tribunales,https://jayfonseca.com/imputan-conflicto-de-interes-a-jueza-que-resolvio-demanda-contra-walmart/
2022-12-21,"Junta Fiscal rechaza aprobar $1,800 millones para nueva oficina gubernamental",Gobierno,https://jayfonseca.com/junta-fiscal-rechaza-aprobar-1800-millones-para-nueva-oficina-gubernamental/
2022-12-21,Carlos Correa firma con los Mets por $35 millones menos,Deportes,https://jayfonseca.com/carlos-correa-firma-con-los-mets-por-35-millones-menos/
2022-12-21,Vivienda detiene nuevas asignaciones a constructora con patrón de incumplimiento,Puerto Rico,https://jayfonseca.com/vivienda-detiene-nuevas-asignaciones-a-constructora-con-patron-de-incumplimiento/
2022-12-21,Gobernador afirma que celebración de plebiscito criollo no es prioridad ahora mismo,Gobierno,https://jayfonseca.com/gobernador-afirma-que-celebracion-de-plebiscito-criollo-no-es-prioridad-ahora-mismo/
2022-12-21,Vivienda detiene nuevas asignaciones a constructora con patrón de incumplimiento,Gobierno,https://jayfonseca.com/vivienda-detiene-nuevas-asignaciones-a-constructora-con-patron-de-incumplimiento/
2022-12-20,Reestructuración de la deuda de la AEE impondrá cargo híbrido a clientes,Gobierno,https://jayfonseca.com/reestructuracion-de-la-deuda-de-la-aee-impondra-cargo-hibrido-a-clientes/
2022-12-20,Farmacias limitan ventas de analgésicos para niños en EEUU,Estados Unidos,https://jayfonseca.com/farmacias-limitan-ventas-de-analgesicos-para-ninos-en-eeuu/
2022-12-20,Recomiendan acusar a Trump por su papel en los disturbios del 6 de enero,Estados Unidos,https://jayfonseca.com/recomiendan-acusar-a-trump-por-su-papel-en-los-disturbios-del-6-de-enero/
2022-12-20,Sin apoyo por ahora del Gobernador Plan de Ajuste de la Deuda AEE,Puerto Rico,https://jayfonseca.com/sin-apoyo-por-ahora-del-gobernador-plan-de-ajuste-de-la-deuda-aee/
2022-12-20,"Congreso presenta proyecto que asignaría $19,000 millones en fondos de Medicaid para Puerto Rico ",Gobierno,https://jayfonseca.com/congreso-presenta-proyecto-que-asignaria-19000-millones-en-fondos-de-medicaid-para-puerto-rico/
2022-12-20,Sin apoyo por ahora del Gobernador Plan de Ajuste de la Deuda AEE,Gobierno,https://jayfonseca.com/sin-apoyo-por-ahora-del-gobernador-plan-de-ajuste-de-la-deuda-aee/
2022-12-20,"De 1,413 agentes solo 298 aprobaron el examen para el rango de sargento",Gobierno,https://jayfonseca.com/de-1413-agentes-solo-298-aprobaron-el-examen-para-el-rango-de-sargento/
2022-12-19,Gobernador veta proyecto que daría paso a reclamaciones legales de ciudadanos sobre el ambiente,Gobierno,https://jayfonseca.com/gobernador-veta-proyecto-que-daria-paso-a-reclamaciones-legales-de-ciudadanos-sobre-el-ambiente/
2022-12-19,Alza en las enfermedades de transmisión sexual en Puerto Rico,Puerto Rico,https://jayfonseca.com/alza-en-las-enfermedades-de-transmision-sexual-en-puerto-rico/
2022-12-19,Departamento de Justicia recomienda designación de un FEI contra el Alcalde de Hatillo,Gobierno,https://jayfonseca.com/departamento-de-justicia-recomienda-designacion-de-un-fei-contra-el-alcalde-de-hatillo/
2022-12-19,Más cara la educación privada en Puerto Rico,Educacion,https://jayfonseca.com/mas-cara-la-educacion-privada-en-puerto-rico/
2022-12-16,Se registra alza de enfermedades respiratorias ,Puerto Rico,https://jayfonseca.com/se-registra-alza-de-enfermedades-respiratorias/
2022-12-16,Se mudan a Puerto Rico brokers para vivir en el paraíso sin pagar impuestos ,Puerto Rico,https://jayfonseca.com/se-mudan-a-puerto-rico-brokers-para-vivir-en-el-paraiso-sin-pagar-impuestos/
2022-12-16,Rebaja del gas no la sienten los consumidores ,Puerto Rico,https://jayfonseca.com/rebaja-del-gas-no-la-sienten-los-consumidores/
2022-12-16,Congresista republicano dice boricuas estamos endeudados y mal educados como para darnos la estadidad ,Politica,https://jayfonseca.com/congresista-republicano-dice-boricuas-estamos-endeudados-y-mal-educados-como-para-darnos-la-estadidad/
2022-12-16,"Rauw Alejandro abre nueva función, colapso causa cambio de boletería",Puerto Rico,https://jayfonseca.com/rauw-alejandro-abre-nueva-funcion-colapso-causa-cambio-de-boleteria/
2022-12-16,"FAA propone multa de $134,475 a Vieques Air Link",Puerto Rico,https://jayfonseca.com/faa-propone-multa-de-134475-a-vieques-air-link/
2022-12-16,Primos de Pierluisi no saben más del FBI que todavía tiene su celular,Puerto Rico,https://jayfonseca.com/primos-de-pierluisi-no-saben-mas-del-fbi-que-todavia-tiene-su-celular/
2022-12-15,Familia contrata compañía privada para atender atraso de más de 10 mil referidos de maltrato de menores,Gobierno,https://jayfonseca.com/familia-contrata-compania-privada-para-atender-atraso-de-mas-de-10-mil-referidos-de-maltrato-de-menores/
2022-12-15,Luz al final del túnel para fondos del Medicaid,Salud,https://jayfonseca.com/luz-al-final-del-tunel-para-fondos-del-medicaid/
2022-12-15,Para marzo y no para diciembre la meta de reparar las escuelas con columnas cortas,Educacion,https://jayfonseca.com/para-marzo-y-no-para-diciembre-la-meta-de-reparar-las-escuelas-con-columnas-cortas/
2022-12-15,Reportan en NBC Nueva York proyecto de status de Puerto Rico a votación hoy es para dar la independencia,Estados Unidos,https://jayfonseca.com/reportan-en-nbc-nueva-york-proyecto-de-status-de-puerto-rico-a-votacion-hoy-es-para-dar-la-independencia/
2022-12-15,Cámara federal aprueba proyecto de status de Puerto Rico,Politica,https://jayfonseca.com/camara-federal-aprueba-proyecto-de-status-de-puerto-rico/
2022-12-15,FBI y ATF allanan propiedad en Hato Rey,Puerto Rico,https://jayfonseca.com/fbi-y-atf-allanan-propiedad-en-hato-rey/
2022-12-15,Cámara federal aprueba proyecto de status de Puerto Rico,Puerto Rico,https://jayfonseca.com/camara-federal-aprueba-proyecto-de-status-de-puerto-rico/
2022-12-15,Familia contrata compañía privada para atender atraso de más de 10 mil referidos de maltrato de menores,Puerto Rico,https://jayfonseca.com/familia-contrata-compania-privada-para-atender-atraso-de-mas-de-10-mil-referidos-de-maltrato-de-menores/
2022-12-15,Reportan en NBC Nueva York proyecto de status de Puerto Rico a votación hoy es para dar la independencia,Puerto Rico,https://jayfonseca.com/reportan-en-nbc-nueva-york-proyecto-de-status-de-puerto-rico-a-votacion-hoy-es-para-dar-la-independencia/
2022-12-15,Colapsa PRTicket por alta demanda para comprar boletos de Rauw Alejandro,Puerto Rico,https://jayfonseca.com/colapsa-prticket-por-alta-demanda-para-comprar-boletos-de-rauw-alejandro/
2022-12-15,Estudio asegura es más caro comprar o rentar vivienda debido al alza en alquileres de corto plazo,Puerto Rico,https://jayfonseca.com/estudio-asegura-es-mas-caro-comprar-o-rentar-vivienda-debido-al-alza-en-alquileres-de-corto-plazo/
2022-12-14,A votación mañana en la Cámara federal el proyecto de status,Politica,https://jayfonseca.com/a-votacion-manana-en-la-camara-federal-el-proyecto-de-status/
